steam_id,recommendationid,author_steamid,playtime_forever,review,voted_up,votes_up,timestamp_created
2357570,223229252,76561199167478977,3676,gites,True,0,1776155453
2357570,223209152,76561198121543591,29749,Fix the ♥♥♥♥♥♥♥ input lag,False,0,1776120541
2357570,223204553,76561198206524451,3828,ta gówno gra nic nie daje od siebie bo ludzie zarabjający tysiące złoty nawet nie umieją zablansować postaci w grze która na rynku jest prawie 10 lat i do tego ♥♥♥♥♥♥ serwery które działają jak odkurzać,True,0,1776114748
2357570,223194996,76561199158780174,80,"a idź pan. przy logowaniu nerwica gwarantowana, a sama gra to taka bardzo średnia",False,0,1776104565
2357570,223190420,76561199592904887,9233,Winton,True,0,1776099843
2357570,223175483,76561198378965984,75,blizpies,False,0,1776084268
2357570,223157759,76561199441781418,6102,spoko,True,0,1776052698
2357570,223136873,76561198813552201,114,juz wole w boom arene zagrac zamiast tego. 300 lewel poszedł i co mam w zamian jakies ujemne sezony. idzie z tym . prosze wiecej takich nie produkować,False,0,1776025770
2357570,223127612,76561198350823767,3032,nie podoba mi sie,True,0,1776017806
2357570,223108964,76561198802446569,16349,aha,True,0,1776003090
